generation,MeanFitness,MaxFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
473,19.15625,24,8,1,1,9361,2969,8611,9988
474,19.15625,24,8,1,1,9361,2969,8611,9988
475,19.15625,24,8,1,1,9361,2969,8611,9988
476,19.15625,24,8,1,1,9361,2969,8611,9988
477,19.15625,24,8,1,1,9361,2969,8611,9988
478,19.15625,24,8,1,1,9361,2969,8611,9988
479,19.15625,24,8,1,1,9361,2969,8611,9988
480,-119.53125,-70,-3,0,128,-11063,-1671,-5514,-5876
481,-107.125,-70,-2,0,113,-9063,-768,-3226,-3724
482,-101.4375,-57,1,0,74,-5712,457,-1349,-2228
483,-87.59375,-57,3,1,35,-1303,2110,967,-264
484,-80.46875,-9,3,1,35,-492,2398,1615,725
485,-75.71875,-9,5,1,28,291,3263,1568,633
486,-73.875,-9,7,1,27,584,3223,559,757
487,-73.875,-9,7,1,27,584,3223,559,757
488,-72.0625,-9,9,2,20,1796,3750,2066,1321
489,-71.1875,-9,13,2,20,2733,3875,2346,1257
490,-66.84375,-9,17,3,5,6283,5638,3701,5805
491,-64.1875,-9,17,3,4,6212,5809,3943,5823
492,-62.625,-9,14,3,4,6668,5724,4614,7437
493,-60.8125,-6,14,3,4,6613,5613,4431,7437
494,-59.96875,-6,15,3,4,6681,5625,4811,7429
495,-58.125,-6,17,3,4,7712,6075,4270,8765
496,-57.3125,-6,22,3,3,7627,6161,3958,8553
497,-55.53125,-6,22,3,3,7583,6362,4152,8765
498,-54.625,-6,18,3,3,7489,6131,4311,9056
499,-51.90625,-6,21,3,3,7649,6125,4903,9031
500,-51.03125,-6,22,3,3,7721,6210,5390,9031
501,-48.3125,-6,25,3,2,7850,6935,5425,9031
502,-45.6875,-6,29,4,2,8915,7881,6886,9913
503,-41.375,-6,29,4,2,8990,8294,6249,9928
504,-39.96875,-6,27,4,2,8973,8389,6297,9939
505,-37.9375,-6,31,4,2,8929,8177,6484,9910
506,-33.65625,-6,30,4,2,8921,8219,6098,9896
507,-33.28125,-6,30,4,2,8922,8347,6098,9886
508,-30.40625,-6,30,4,2,8937,8164,5921,9877
509,-28.71875,-6,28,4,2,8971,8060,5609,9886
510,-27.09375,-6,24,4,2,8934,8311,5609,9886
511,-22.125,-6,24,4,2,8862,8159,5239,9877
512,-22.03125,-6,26,4,2,8904,8159,4927,9877
513,-20.15625,-6,26,4,2,8903,7995,5075,9858
